N4BP2	PIK3CA	LRP1	PIK3R1	TTN	ERBB3	ITSN2	MUC16	TP53	SYNE2	SRCAP	DNAH11
TCGA-B6-A0RH-01	-1.86971403043	0.403438049161	-0.112974607881	3.11650284822	0.247040780336	3.26691892314	-0.622872360515	0.6499932110809999	1.80692312134	1.55056166211	1.09353403043	1.89198856808
TCGA-AO-A0JE-01	0.15588596956700002	0.220838049161	1.42622539212	4.08680284822	1.17574078034	2.80611892314	0.385927639485	-0.688006788919	1.45012312134	2.22576166211	1.3867340304299998	-3.50091143192
TCGA-B6-A0I9-01	1.28008596957	0.450138049161	-0.208474607881	1.94260284822	-0.119159219664	3.87431892314	1.06692763948	0.336793211081	1.83742312134	1.59376166211	1.5295340304299998	4.51108856808
TCGA-AR-A0TX-01	1.28008596957	0.385738049161	1.33822539212	3.2654028482200004	0.679140780336	5.33031892314	0.8065276394850001	-2.14950678892	0.916723121342	2.53226166211	1.83493403043	-4.2411114319199985
TCGA-AO-A0J2-01	-1.21981403043	-0.659361950839	-0.6768746078810001	1.0997028482200002	0.583640780336	3.87051892314	-0.325272360515	0.7711932110809999	2.13072312134	0.957761662115	0.953634030433	1.44458856808
TCGA-C8-A275-01	0.524385969567	0.34883804916100003	-0.0819746078814	2.8149028482200005	0.963740780336	3.47271892314	1.08112763948	4.11939321108	1.18012312134	3.19726166211	1.23853403043	3.99508856808
TCGA-BH-A18P-01	1.86178596957	0.572638049161	0.5900253921190001	2.26170284822	0.922940780336	5.1247189231400005	1.23532763948	1.13609321108	1.10892312134	2.55506166211	1.85723403043	-1.47191143192
TCGA-C8-A1HF-01	-0.0201140304331	-0.028661950838900007	0.132625392119	4.19070284822	0.08914078033560001	2.65391892314	0.163327639485	-3.79070678892	1.42272312134	1.96726166211	1.09313403043	-1.27451143192
TCGA-A2-A04W-01	-0.998014030433	-0.208961950839	1.2338253921200002	3.75860284822	0.931940780336	1.98341892314	-0.6969723605149999	3.08989321108	1.01602312134	0.245461662115	0.5527340304330001	3.02628856808
TCGA-A8-A08L-01	0.560585969567	0.841138049161	0.126525392119	2.42450284822	1.42274078034	4.27861892314	0.133527639485	-1.90070678892	-0.7263768786579999	2.52276166211	1.69003403043	-0.333111431916
TCGA-BH-A0EE-01	-0.158514030433	-0.474161950839	-3.4754746078800003	4.403202848219999	0.114840780336	1.79891892314	-0.6887723605149999	7.90529321108	-1.47557687866	2.9521616621099995	1.4536340304299995	4.77558856808
TCGA-D8-A1JG-01	1.6308859695700002	0.35523804916100005	0.505925392119	2.50240284822	1.0478407803399998	3.93581892314	1.14182763948	-0.4765067889190001	-0.382976878658	2.96106166211	1.90333403043	-1.04771143192
